outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
6,3108,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:05.4,,"Leckszas, K.","Aguirre, I.",T3,1,0, - ,0,2,0,Foul,Fastball,83,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,9,9
6,3109,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:05.6,,"Leckszas, K.","Aguirre, I.",T3,1,0, - ,0,2,1,Ball,Fastball,85,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,9,9
6,3110,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:05.8,,"Leckszas, K.","Aguirre, I.",T3,1,0, - ,0,3,1,Strike Taken,Fastball,82,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,9,9
6,3111,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:05.5,,"Leckszas, K.","Aguirre, I.",T3,1,0, - ,0,3,2,Strike Taken,Fastball,84,"","",Strikeout,T,1,3,U.S. Naval Academy,Georgetown University,0,9,9
6,3112,"Leckszas, K. VS Burch, N.",U.S. Naval Academy vs Georgetown University,,,00:00:14.9,,"Leckszas, K.","Burch, N.",T3,1,0, - ,1,0,0,BIP,Fastball,84,Line Drive,Double,,T,1,3,U.S. Naval Academy,Georgetown University,0,10,1
6,3113,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:06.0,,"Leckszas, K.","Diaz, E.",T3,1,0,2B,1,0,0,Ball,Slider,75,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,11,2
6,3114,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.5,,"Leckszas, K.","Diaz, E.",T3,1,0,2B,1,1,0,Ball,Fastball,83,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,11,2
6,3115,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:06.1,,"Leckszas, K.","Diaz, E.",T3,1,0,2B,1,2,0,Ball,Fastball,83,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,11,2
6,3116,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Diaz, E.",T3,1,0,2B,1,3,0,Strike Taken,Fastball,84,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,11,2
6,3117,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.8,,"Leckszas, K.","Diaz, E.",T3,1,0,2B,1,3,1,Foul,Fastball,83,"","",,T,1,3,U.S. Naval Academy,Georgetown University,0,11,2
6,3118,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:11.2,,"Leckszas, K.","Diaz, E.",T3,1,0,2B,1,3,2,BIP,Fastball,83,Line Drive,Single,,T,1,3,U.S. Naval Academy,Georgetown University,0,11,2
6,3119,"Leckszas, K. VS Keller, L.",U.S. Naval Academy vs Georgetown University,,,00:00:08.9,,"Leckszas, K.","Keller, L.",T3,1,0,1B-3B,1,0,0,BIP,Slider,79,Ground Ball,Grounded Into Double Play,,T,1,3,U.S. Naval Academy,Georgetown University,0,12,3
6,3120,"Leckszas, K. VS Smith, A.",U.S. Naval Academy vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Smith, A.",T4,1,0, - ,0,0,0,Strike Taken,Fastball,84,"","",,T,1,4,U.S. Naval Academy,Georgetown University,0,13,4
6,3121,"Leckszas, K. VS Smith, A.",U.S. Naval Academy vs Georgetown University,,,00:00:14.2,,"Leckszas, K.","Smith, A.",T4,1,0, - ,0,0,1,BIP,Slider,75,Fly Ball,Field Error,,T,1,4,U.S. Naval Academy,Georgetown University,0,13,4
6,3122,"Leckszas, K. VS Smith, C.",U.S. Naval Academy vs Georgetown University,,,00:00:05.6,,"Leckszas, K.","Smith, C.",T4,1,0,2B,0,0,0,Ball,Slider,74,"","",,T,1,4,U.S. Naval Academy,Georgetown University,0,14,5
6,3123,"Leckszas, K. VS Smith, C.",U.S. Naval Academy vs Georgetown University,,,00:00:06.0,,"Leckszas, K.","Smith, C.",T4,1,0,2B,0,1,0,Ball,Slider,75,"","",,T,1,4,U.S. Naval Academy,Georgetown University,0,14,5
6,3124,"Leckszas, K. VS Smith, C.",U.S. Naval Academy vs Georgetown University,,,00:00:05.8,,"Leckszas, K.","Smith, C.",T4,1,0,2B,0,2,0,Foul,Fastball,83,"","",,T,1,4,U.S. Naval Academy,Georgetown University,0,14,5
6,3125,"Leckszas, K. VS Smith, C.",U.S. Naval Academy vs Georgetown University,,,00:00:05.7,,"Leckszas, K.","Smith, C.",T4,1,0,2B,0,2,1,Ball,Fastball,82,"","",,T,1,4,U.S. Naval Academy,Georgetown University,0,14,5
6,3126,"Leckszas, K. VS Smith, C.",U.S. Naval Academy vs Georgetown University,,,00:00:09.5,,"Leckszas, K.","Smith, C.",T4,1,0,2B,0,3,1,BIP,Fastball,81,Ground Ball,Groundout,,T,1,4,U.S. Naval Academy,Georgetown University,0,14,5
6,3127,"Leckszas, K. VS Murtha, B.",U.S. Naval Academy vs Georgetown University,,,00:00:10.2,,"Leckszas, K.","Murtha, B.",T4,1,0,2B,1,0,0,BIP,Slider,72,Ground Ball,Groundout,,T,1,4,U.S. Naval Academy,Georgetown University,0,15,6
6,3128,"Leckszas, K. VS Lehnertz, H.",U.S. Naval Academy vs Georgetown University,,,00:00:05.5,,"Leckszas, K.","Lehnertz, H.",T4,1,0,2B,2,0,0,Strike Taken,Slider,74,"","",,T,1,4,U.S. Naval Academy,Georgetown University,0,16,7
6,3129,"Leckszas, K. VS Lehnertz, H.",U.S. Naval Academy vs Georgetown University,,,00:00:09.9,,"Leckszas, K.","Lehnertz, H.",T4,1,0,2B,2,0,1,BIP,Fastball,82,Fly Ball,Flyout,,T,1,4,U.S. Naval Academy,Georgetown University,0,16,7
6,3130,"Leckszas, K. VS Raba, Z.",U.S. Naval Academy vs Georgetown University,,,00:00:05.3,,"Leckszas, K.","Raba, Z.",T5,1,0, - ,0,0,0,Strike Taken,Fastball,83,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,17,8
6,3131,"Leckszas, K. VS Raba, Z.",U.S. Naval Academy vs Georgetown University,,,00:00:06.7,,"Leckszas, K.","Raba, Z.",T5,1,0, - ,0,0,1,Ball,Fastball,81,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,17,8
6,3132,"Leckszas, K. VS Raba, Z.",U.S. Naval Academy vs Georgetown University,,,00:00:05.4,,"Leckszas, K.","Raba, Z.",T5,1,0, - ,0,1,1,Strike Swinging,Fastball,86,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,17,8
6,3133,"Leckszas, K. VS Raba, Z.",U.S. Naval Academy vs Georgetown University,,,00:00:05.5,,"Leckszas, K.","Raba, Z.",T5,1,0, - ,0,1,2,Foul,Fastball,87,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,17,8
6,3134,"Leckszas, K. VS Raba, Z.",U.S. Naval Academy vs Georgetown University,,,00:00:05.8,,"Leckszas, K.","Raba, Z.",T5,1,0, - ,0,1,2,Foul,Fastball,85,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,17,8
6,3135,"Leckszas, K. VS Raba, Z.",U.S. Naval Academy vs Georgetown University,,,00:00:10.1,,"Leckszas, K.","Raba, Z.",T5,1,0, - ,0,1,2,BIP,Fastball,87,Ground Ball,Groundout,,T,1,5,U.S. Naval Academy,Georgetown University,0,17,8
6,3136,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:06.2,,"Leckszas, K.","Aguirre, I.",T5,1,0, - ,1,0,0,Foul,Fastball,86,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,18,9
6,3137,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:05.0,,"Leckszas, K.","Aguirre, I.",T5,1,0, - ,1,0,1,Ball,Fastball,87,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,18,9
6,3138,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:05.7,,"Leckszas, K.","Aguirre, I.",T5,1,0, - ,1,1,1,Ball,Slider,76,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,18,9
6,3139,"Leckszas, K. VS Aguirre, I.",U.S. Naval Academy vs Georgetown University,,,00:00:09.5,,"Leckszas, K.","Aguirre, I.",T5,1,0, - ,1,2,1,BIP,Fastball,85,Line Drive,Single,,T,1,5,U.S. Naval Academy,Georgetown University,0,18,9
6,3140,"Leckszas, K. VS Burch, N.",U.S. Naval Academy vs Georgetown University,,,00:00:08.5,,"Leckszas, K.","Burch, N.",T5,1,0,1B,1,0,0,Strike Swinging,Slider,78,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,19,1
6,3141,"Leckszas, K. VS Burch, N.",U.S. Naval Academy vs Georgetown University,,,00:00:11.0,,"Leckszas, K.","Burch, N.",T5,1,0,2B,1,0,1,BIP,Slider,74,Fly Ball,Flyout,,T,1,5,U.S. Naval Academy,Georgetown University,0,19,1
6,3142,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.8,,"Leckszas, K.","Diaz, E.",T5,1,0,2B,2,0,0,Ball,Slider,75,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,20,2
6,3143,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.3,,"Leckszas, K.","Diaz, E.",T5,1,0,2B,2,1,0,Ball,Fastball,84,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,20,2
6,3144,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.2,,"Leckszas, K.","Diaz, E.",T5,1,0,2B,2,2,0,Strike Taken,Fastball,85,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,20,2
6,3145,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.5,,"Leckszas, K.","Diaz, E.",T5,1,0,2B,2,2,1,Ball,Fastball,86,"","",,T,1,5,U.S. Naval Academy,Georgetown University,0,20,2
6,3146,"Leckszas, K. VS Diaz, E.",U.S. Naval Academy vs Georgetown University,,,00:00:05.7,,"Leckszas, K.","Diaz, E.",T5,1,0,2B,2,3,1,Ball,Fastball,85,"","",Walk,T,1,5,U.S. Naval Academy,Georgetown University,0,20,2
